,country,depression_rate,corruption_score,average_temperature,gini,unemployment_rate,family_avg_size,Public services index,democracy_score,crime index,peace_ranking,litracy_rate,gender_equality,education,health,Air Quality
0,Albania,4.8,36.0,12.47,59.0,11.7,8.04,4.1,6.08,5.63,41.0,97.55,0.77,1.0,0.956,0
1,Algeria,4.5,33.0,23.61,27.6,13.6,,5.3,3.77,4.51,109.0,79.61,0.633,0.97,0.958,1
2,Andorra,,,8.33,,,,,,2.96,,100.0,,,,0
3,Angola,3.6,33.0,21.77,51.3,9.6,4.82,9.1,3.66,5.29,78.0,71.16,0.657,0.76,0.976,3
4,Argentina,4.7,38.0,15.1,42.9,11.5,3.26,4.5,6.95,4.38,69.0,98.09,0.752,1.0,0.977,0
5,Armenia,5.0,46.0,7.86,29.9,18.3,3.54,3.6,5.35,3.26,83.0,99.77,0.673,1.0,0.95,1
6,Australia,5.9,75.0,22.05,34.4,6.5,2.55,2.5,8.96,4.0,27.0,99.0,0.731,1.0,0.968,0
7,Austria,5.1,71.0,7.43,30.8,5.4,2.88,2.0,8.16,4.04,5.0,98.0,0.777,1.0,0.97,0
8,Azerbaijan,4.6,23.0,13.37,26.6,4.8,4.55,5.2,2.68,5.08,128.0,99.81,0.688,1.0,0.939,0
9,Bahrain,4.8,44.0,27.67,,1.2,,3.2,2.49,4.83,99.0,95.72,0.632,0.98,0.959,3
10,Bangladesh,4.1,25.0,25.69,32.4,4.4,4.47,7.8,5.99,4.98,96.0,61.49,0.719,0.95,0.962,3
11,Belarus,5.6,39.0,7.45,25.3,4.1,2.48,3.0,2.59,5.08,116.0,99.72,0.758,1.0,0.977,0
12,Belgium,4.8,,10.67,27.2,5.5,2.36,2.8,7.51,4.34,22.0,99.0,0.789,1.0,0.968,0
13,Belize,4.4,,25.7,53.3,9.1,,5.7,,4.64,,82.78,0.699,0.99,0.98,0
14,Bermuda,,,21.67,,8.9,,,,,,98.0,,,,0
15,Bolivia,4.4,31.0,20.78,41.6,7.9,3.53,6.6,5.08,4.3,80.0,95.14,0.722,0.98,0.962,1
16,Bosnia and Herzegovina,5.1,34.0,10.38,33.0,15.9,,,,5.89,58.0,98.49,,,,1
17,Brazil,5.8,38.0,25.45,53.4,13.7,3.31,7.5,6.92,6.5,130.0,92.59,0.695,1.0,0.98,1
18,Brunei,,,27.06,,,,2.3,,2.76,,96.66,0.678,0.99,0.965,0
19,Bulgaria,5.2,43.0,11.37,41.3,5.1,2.34,4.2,6.71,5.43,24.0,98.39,0.746,0.99,0.979,0
20,Burkina Faso,3.6,42.0,29.26,35.3,4.7,5.92,8.8,3.73,5.49,146.0,37.75,0.651,0.87,0.978,1
21,Cambodia,3.4,24.0,27.41,,1.2,4.61,7.9,3.1,5.83,63.0,78.35,0.684,0.92,0.978,0
22,Canada,4.7,74.0,-4.06,33.3,9.5,2.45,2.0,9.24,3.66,12.0,99.0,0.772,1.0,0.968,1
23,Cape Verde,4.9,,,,,,5.9,,,,88.47,0.716,0.97,0.98,0
24,Cayman Islands,,,27.82,,4.2,,,,,,98.87,,,,0
25,Central African Republic,4.2,24.0,25.47,56.2,,4.91,,1.32,7.04,155.0,36.75,,,,3
26,Chad,3.5,19.0,27.65,43.3,1.1,5.78,9.7,1.55,5.86,136.0,40.02,0.593,0.59,0.97,1
27,Chile,5.0,67.0,9.49,44.4,11.2,3.58,4.2,8.28,4.6,55.0,96.63,0.716,1.0,0.97,3
28,China,4.2,45.0,,38.5,5.2,3.32,5.0,2.27,,89.0,96.36,0.682,0.97,0.935,2
